Status
Checking HiRTOS.tla / HiRTOS_all_safety_and_liveness.cfg
Success Fingerprint collision probability: 9.1E-6
Start: 00:18:34 (May 25), end: 07:54:21 (May 25)

States
Time	Diameter	Found	Distinct	Queue
HiRTOS	idle_thread_next_state_loop	2 272	0
HiRTOS	timer_interrupt_next_state_loop	2 361 813	52 719
HiRTOS	enter_critical_section_step_T	423 780	159 524
HiRTOS	track_time_slice	423 780	159 048
HiRTOS	wakeup_delay_until_waiters	467 210	180 308
HiRTOS	timer_interupt_asynchronous_context_switch_step	396 626	156 970
HiRTOS	exit_critical_section_step_T	315 106	52 718
HiRTOS	other_interrupt_next_state_loop	2 867 426	12
HiRTOS	enter_critical_section_step	423 780	159 526
HiRTOS	other_interupt_asynchronous_context_switch_step	423 780	159 526
HiRTOS	exit_critical_section_step	423 778	2

